manage,administrar,kudeatu
remember,recordar,gogoratu
bother,molestar,traba
get,obtener,lortu
dare,atrevimiento,ausartu
care,cuidado,zainketa
venture,riesgo,abentura
condescend,condescender,menperatu
happen,suceder,gertatu
fit,encajar,egokitu
careful,cuidado,kontuz
misfortune,desgracia,zorigaitza
sense,sentido,zentzua
succeed,triunfar,arrakasta
deign,dignarse,deign
forget,olvidar,ahaztu
fail,fallar,huts egin
neglect,negligencia,utzikeria
decline,disminuciÃ³n,gainbehera
avoid,evitar,saihestu
refrain,estribillo,abstenitu
choose,escoger,aukeratu
able,poder,gai
can,lata,daiteke
cause,causa,kausa
force,fuerza,indarra
prevent,evitar,ekidin
preclude,imposibilitar,galarazi
keep,mantenerse,gorde
allow,permitir,baimendu
hesitate,dudar,zalantzan jarri
attempt,intento,saiakera
